epoch,train_loss,val_loss,val_accuracy,experts_lr,fusion_lr,global_head_lr,loss_global,loss_individual,loss_total,expert_0_accuracy,expert_1_accuracy,expert_2_accuracy,expert_3_accuracy,expert_0_loss,expert_1_loss,expert_2_loss,expert_3_loss,alpha,fusion_type,timestamp
37,9.798093814086915,8.420619338989258,72.29,1e-05,0.0001,0.0001,1.1582390026092528,8.639854794311523,9.798093814086915,49.32,48.77,46.67,47.77,2.1300753128051757,2.1172057704925535,2.2716697231292726,2.1209039501190183,1.0,multiplicativeAddition,2025-09-08 21:33:18
38,9.66559105529785,8.372276295471192,72.27,1e-05,0.0001,0.0001,1.1244241718292236,8.541166961669921,9.66559105529785,49.55,48.67,47.14,48.45,2.106972386550903,2.099459471130371,2.2336497982025145,2.101085353469849,1.0,multiplicativeAddition,2025-09-08 21:34:20
39,9.53276353302002,8.318808418273926,72.32,1e-05,0.0001,0.0001,1.1058310724258422,8.426932479858399,9.53276353302002,50.05,48.8,47.11,48.32,2.0831460414886473,2.0707689628601074,2.206201919174194,2.066815534210205,1.0,multiplicativeAddition,2025-09-08 21:35:24
40,9.453480503845215,8.273181813049316,72.36,1e-05,0.0001,0.0001,1.0936909097671508,8.35978963317871,9.453480503845215,50.33,49.53,47.78,48.85,2.0560486892700194,2.0537316925048827,2.20433985786438,2.0456693702697755,1.0,multiplicativeAddition,2025-09-08 21:36:33
41,9.333110731506348,8.228410025024415,72.03,1e-05,0.0001,0.0001,1.0829057941436768,8.250204943847656,9.333110731506348,50.19,49.44,47.78,48.86,2.0386772983551027,2.0302966400146483,2.1634452163696287,2.017785774230957,1.0,multiplicativeAddition,2025-09-08 21:37:34
42,9.300837028503418,8.156128840637207,72.1,1e-05,0.0001,0.0001,1.0846367738723754,8.21620027770996,9.300837028503418,50.7,49.91,48.12,48.99,2.0311348205566406,2.0203150367736815,2.1562212707519532,2.0085291919708252,1.0,multiplicativeAddition,2025-09-08 21:38:36
43,9.157185722351075,8.129700723266602,72.15,1e-05,0.0001,0.0001,1.050447853088379,8.106737855529785,9.157185722351075,51.09,49.94,48.44,49.36,2.0020668128967287,1.9889493576049804,2.1226473625183107,1.9930743282318115,1.0,multiplicativeAddition,2025-09-08 21:39:39
44,9.048566317749023,8.074469690704346,72.3,1e-05,0.0001,0.0001,1.0383317285537719,8.010234620666504,9.048566317749023,51.43,50.59,48.84,49.86,1.969173129272461,1.9685204128265381,2.1068465843200683,1.9656944988250733,1.0,multiplicativeAddition,2025-09-08 21:40:42
45,9.10155527496338,8.047650300598145,72.3,1e-05,0.0001,0.0001,1.0638439750671387,8.037711325073243,9.10155527496338,51.35,50.65,48.87,49.84,1.9838825714111328,1.9755081020355225,2.0965079669952393,1.9818126983642579,1.0,multiplicativeAddition,2025-09-08 21:41:43
46,8.96079038772583,7.997707534790039,72.53,1e-05,0.0001,0.0001,1.0498999626159669,7.910890425109863,8.96079038772583,52.12,50.85,49.2,50.48,1.9516695720672608,1.9417686319351197,2.078353758430481,1.9390984613418578,1.0,multiplicativeAddition,2025-09-08 21:42:47
