model_type,fusion_type,alpha,expert_id,model_architecture,test_type,attack_type,corruption_type,severity_level,epsilon,accuracy,loss,correct_predictions,total_predictions,timestamp
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,motion_blur,4,N/A,54.95,1.6278868355328524,5495,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,motion_blur,5,N/A,53.65,1.686935716037509,5365,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,zoom_blur,1,N/A,47.44,1.980599340004257,4744,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,zoom_blur,2,N/A,39.7,2.3715420614314984,3970,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,zoom_blur,3,N/A,24.81,3.2920676635790476,2481,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,zoom_blur,4,N/A,14.49,4.278633021101167,1449,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,zoom_blur,5,N/A,7.29,5.171940821635572,729,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,snow,1,N/A,43.94,2.1797993560380573,4394,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,snow,2,N/A,23.23,3.443472877333436,2323,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,snow,3,N/A,12.09,4.533295812486093,1209,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,snow,4,N/A,7.14,5.22057452986512,714,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,snow,5,N/A,5.04,5.623402124718774,504,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,frost,1,N/A,54.98,1.6224369761310047,5498,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,frost,2,N/A,48.61,1.9442566784122322,4861,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,frost,3,N/A,39.28,2.406766488582273,3928,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,frost,4,N/A,30.13,2.923290472996386,3013,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,frost,5,N/A,23.2,3.431694498545007,2320,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,fog,1,N/A,52.29,1.754556725296793,5229,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,fog,2,N/A,40.17,2.3766882781740986,4017,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,fog,3,N/A,27.03,3.1443037956575806,2703,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,fog,4,N/A,18.46,3.863260851630682,1846,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,fog,5,N/A,12.51,4.469713325741925,1251,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,brightness,1,N/A,57.6,1.5324352858941765,5760,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,brightness,2,N/A,57.31,1.5548283721827254,5731,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,brightness,3,N/A,56.26,1.5891954642307908,5626,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,brightness,4,N/A,54.82,1.6376064155675187,5482,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,brightness,5,N/A,53.49,1.696574251863021,5349,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,contrast,1,N/A,57.26,1.5300151366221755,5726,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,contrast,2,N/A,56.8,1.5465477689912048,5680,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,contrast,3,N/A,56.49,1.5685180320015437,5649,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,contrast,4,N/A,55.83,1.5944375840923455,5583,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,contrast,5,N/A,54.97,1.626947976365874,5497,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,elastic_transform,1,N/A,17.09,3.794625227964377,1709,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,elastic_transform,2,N/A,5.92,5.73431165308892,592,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,elastic_transform,3,N/A,3.75,6.351530992532078,375,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,elastic_transform,4,N/A,3.26,6.5879926681518555,326,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,elastic_transform,5,N/A,2.94,6.722776938088333,294,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,pixelate,1,N/A,5.53,6.8592242892784405,553,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,pixelate,2,N/A,3.94,7.058750575101828,394,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,pixelate,3,N/A,1.67,6.989860184584992,167,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,pixelate,4,N/A,1.46,7.117346854149541,146,10000,2025-09-08 23:12:50
