model_type,fusion_type,alpha,expert_id,model_architecture,test_type,attack_type,corruption_type,severity_level,epsilon,accuracy,loss,correct_predictions,total_predictions,timestamp
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,motion_blur,5,N/A,52.68,1.6691668501383141,5268,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,zoom_blur,1,N/A,46.11,2.03289906435375,4611,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,zoom_blur,2,N/A,37.68,2.478022706659534,3768,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,zoom_blur,3,N/A,23.02,3.5120778325237807,2302,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,zoom_blur,4,N/A,13.68,4.588021981565258,1368,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,zoom_blur,5,N/A,7.61,5.723725711243062,761,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,snow,1,N/A,41.58,2.2043695811983905,4158,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,snow,2,N/A,21.31,3.6566571857355816,2131,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,snow,3,N/A,11.1,4.920944069005266,1110,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,snow,4,N/A,6.39,5.758881466298163,639,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,snow,5,N/A,4.37,6.236244630210007,437,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,frost,1,N/A,54.04,1.6201166910461233,5404,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,frost,2,N/A,46.03,1.9945793634728541,4603,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,frost,3,N/A,36.94,2.479270725310603,3694,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,frost,4,N/A,28.04,3.061648000644732,2804,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,frost,5,N/A,21.21,3.632771641393251,2121,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,fog,1,N/A,50.76,1.7632175819783271,5076,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,fog,2,N/A,37.65,2.4562146331690533,3765,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,fog,3,N/A,24.96,3.3225716397732117,2496,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,fog,4,N/A,17.18,4.131113894378083,1718,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,fog,5,N/A,11.3,4.860034447682055,1130,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,brightness,1,N/A,56.61,1.510065499740311,5661,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,brightness,2,N/A,56.13,1.534258471259588,5613,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,brightness,3,N/A,55.64,1.5688108401962473,5564,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,brightness,4,N/A,54.26,1.6174260815487633,5426,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,brightness,5,N/A,53.03,1.6761054539982276,5303,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,contrast,1,N/A,56.72,1.5108192510242704,5672,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,contrast,2,N/A,56.35,1.5252977036222626,5635,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,contrast,3,N/A,55.66,1.5507937051072906,5566,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,contrast,4,N/A,55.27,1.580622992938078,5527,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,contrast,5,N/A,54.81,1.6148382666744763,5481,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,elastic_transform,1,N/A,14.41,4.566053710406339,1441,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,elastic_transform,2,N/A,4.03,7.367558032651491,403,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,elastic_transform,3,N/A,2.65,8.147599214239966,265,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,elastic_transform,4,N/A,2.14,8.272966958299468,214,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,elastic_transform,5,N/A,1.86,8.22822159755079,186,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,pixelate,1,N/A,4.09,8.390642123886302,409,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,pixelate,2,N/A,3.1,7.959393090839628,310,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,pixelate,3,N/A,1.9,8.99029510836058,190,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,pixelate,4,N/A,1.68,8.329538653168497,168,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,pixelate,5,N/A,1.75,7.374496580679206,175,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,jpeg_compression,1,N/A,7.67,5.3662783465807955,767,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,jpeg_compression,2,N/A,14.56,4.2865393071234985,1456,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,jpeg_compression,3,N/A,20.49,3.7163261280784123,2049,10000,2025-09-09 00:34:25
