model_type,fusion_type,alpha,expert_id,model_architecture,test_type,attack_type,corruption_type,severity_level,epsilon,accuracy,loss,correct_predictions,total_predictions,timestamp
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,zoom_blur,5,N/A,6.35,5.336485410038429,635,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,snow,1,N/A,41.88,2.252956008609337,4188,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,snow,2,N/A,21.45,3.6120466431484948,2145,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,snow,3,N/A,10.78,4.739976237091837,1078,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,snow,4,N/A,6.83,5.413353406930272,683,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,snow,5,N/A,4.93,5.755101783366143,493,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,frost,1,N/A,54.49,1.6374604370020613,5449,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,frost,2,N/A,46.91,1.9969524537460714,4691,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,frost,3,N/A,36.87,2.5069534537158433,3687,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,frost,4,N/A,27.76,3.065143905108488,2776,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,frost,5,N/A,20.73,3.620116007478931,2073,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,fog,1,N/A,51.19,1.7865068821967403,5119,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,fog,2,N/A,37.79,2.468407507184186,3779,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,fog,3,N/A,24.95,3.2892946170855173,2495,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,fog,4,N/A,17.01,4.046250666244121,1701,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,fog,5,N/A,11.39,4.679192180874981,1139,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,brightness,1,N/A,57.25,1.5266440759731243,5725,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,brightness,2,N/A,56.55,1.5488248656067667,5655,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,brightness,3,N/A,55.92,1.5808085716223415,5592,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,brightness,4,N/A,54.88,1.627471075782293,5488,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,brightness,5,N/A,53.26,1.6836097693141503,5326,10000,2025-09-08 23:35:14
