epoch,train_loss,val_loss,val_accuracy,experts_lr,fusion_lr,global_head_lr,loss_global,loss_individual,loss_total,expert_0_accuracy,expert_1_accuracy,expert_2_accuracy,expert_3_accuracy,expert_0_loss,expert_1_loss,expert_2_loss,expert_3_loss,alpha,fusion_type,timestamp
31,10.751787922668457,9.08039775390625,70.22,1e-05,0.0001,0.0001,1.314402205657959,9.437385754394532,10.751787922668457,46.54,45.32,43.67,44.63,2.3369240364074706,2.3226575298309324,2.4881656734466553,2.2896385223388673,1.0,multiplicativeShifted,2025-09-08 21:26:46
32,10.6625603515625,9.017347772216796,70.04,1e-05,0.0001,0.0001,1.3071449258804322,9.35541547241211,10.6625603515625,46.82,45.86,43.94,44.98,2.316051712799072,2.298828978347778,2.4568496910095217,2.2836850566864015,1.0,multiplicativeShifted,2025-09-08 21:27:49
33,10.48150835571289,8.934830987548828,70.39,1e-05,0.0001,0.0001,1.2686677068710328,9.212840646362304,10.48150835571289,47.21,46.48,44.35,45.65,2.277948832702637,2.2615303646087646,2.4296424068450926,2.243719031906128,1.0,multiplicativeShifted,2025-09-08 21:28:53
34,10.472981085205078,8.890559411621094,70.44,1e-05,0.0001,0.0001,1.2703837635040283,9.202597329711914,10.472981085205078,47.27,46.46,44.76,46.06,2.2805090152740477,2.2588989002227784,2.4157586853027344,2.2474306930541994,1.0,multiplicativeShifted,2025-09-08 21:29:57
35,10.279873916625977,8.808560879516602,70.42,1e-05,0.0001,0.0001,1.236594443321228,9.043279486083984,10.279873916625977,47.85,46.92,45.07,46.38,2.2366442134857176,2.221402733230591,2.383535273742676,2.201697246932983,1.0,multiplicativeShifted,2025-09-08 21:30:59
36,10.236906619262696,8.754052250671387,70.22,1e-05,0.0001,0.0001,1.2361449199676513,9.000761764526366,10.236906619262696,48.09,47.23,45.34,46.94,2.2259361152648927,2.2185849254608154,2.3597802043914795,2.1964605018615724,1.0,multiplicativeShifted,2025-09-08 21:32:01
37,10.160068646240234,8.685190698242188,70.32,1e-05,0.0001,0.0001,1.2413681568145751,8.918700497436523,10.160068646240234,48.64,47.62,45.93,47.57,2.201690274810791,2.1848077644348143,2.348456004714966,2.1837464042663575,1.0,multiplicativeShifted,2025-09-08 21:33:04
38,10.023060697937012,8.637083703613282,70.38,1e-05,0.0001,0.0001,1.203493282699585,8.819567416381837,10.023060697937012,48.8,47.81,45.99,47.76,2.177702939987183,2.167660033416748,2.310759619140625,2.163444766998291,1.0,multiplicativeShifted,2025-09-08 21:34:06
39,9.883323385620118,8.563629655456543,70.84,1e-05,0.0001,0.0001,1.177209504508972,8.706113864135743,9.883323385620118,49.47,48.1,46.37,47.99,2.154345876693726,2.138577851104736,2.2841840476989748,2.1290060413360594,1.0,multiplicativeShifted,2025-09-08 21:35:10
40,9.812908106994628,8.504791914367676,70.66,1e-05,0.0001,0.0001,1.174487375831604,8.638420736694336,9.812908106994628,49.66,48.69,46.94,48.28,2.126484427642822,2.122152216720581,2.2825292079925537,2.1072548362731935,1.0,multiplicativeShifted,2025-09-08 21:36:17
41,9.662228839111329,8.473165307617187,70.64,1e-05,0.0001,0.0001,1.1414421562194825,8.520786645507812,9.662228839111329,49.48,48.7,46.96,48.35,2.110659656906128,2.0951345794677736,2.238228150558472,2.076764221954346,1.0,multiplicativeShifted,2025-09-08 21:37:19
42,9.652220405578614,8.410936770629883,70.57,1e-05,0.0001,0.0001,1.1607839279174805,8.4914365234375,9.652220405578614,50.1,48.88,47.59,48.91,2.102316468048096,2.0878005710601806,2.2321388984680177,2.0691805892944335,1.0,multiplicativeShifted,2025-09-08 21:38:22
43,9.495939772033692,8.366684219360351,70.71,1e-05,0.0001,0.0001,1.1157333061218262,8.380206481933595,9.495939772033692,50.7,49.33,47.48,49.11,2.0727618770599365,2.0554475837707518,2.198356332397461,2.053640712738037,1.0,multiplicativeShifted,2025-09-08 21:39:24
44,9.393393943786622,8.329186650085449,70.82,1e-05,0.0001,0.0001,1.105141457748413,8.28825252685547,9.393393943786622,50.61,49.65,48.1,49.68,2.0415478050231934,2.037100654220581,2.1828906467437745,2.026713418960571,1.0,multiplicativeShifted,2025-09-08 21:40:26
45,9.440116465759278,8.287565545654298,70.99,1e-05,0.0001,0.0001,1.1310576854705812,8.30905871887207,9.440116465759278,50.88,49.83,47.93,49.56,2.0538759895324707,2.04142709274292,2.1729132396698,2.0408423667907716,1.0,multiplicativeShifted,2025-09-08 21:41:30
46,9.286338036346436,8.223525798034668,70.78,1e-05,0.0001,0.0001,1.1039057299613952,8.182432260131836,9.286338036346436,51.52,50.15,48.49,49.81,2.0209156093597413,2.010546928215027,2.1508102771759035,2.0001593900680543,1.0,multiplicativeShifted,2025-09-08 21:42:32
47,9.205243812561035,8.199603086853028,71.1,1e-05,0.0001,0.0001,1.085686552810669,8.119557290649414,9.205243812561035,51.55,50.73,48.47,50.06,2.012617827987671,1.997972647666931,2.1296932628631593,1.9792735256195069,1.0,multiplicativeShifted,2025-09-08 21:43:36
